Year,Country,GDP total,GDP growth,GDP per capita
1960,Angola,,null,
1961,Angola,,#DIV/0!,
1962,Angola,,#DIV/0!,
1963,Angola,,#DIV/0!,
1964,Angola,,#DIV/0!,
1965,Angola,,#DIV/0!,
1966,Angola,,#DIV/0!,
1967,Angola,,#DIV/0!,
1968,Angola,,#DIV/0!,
1969,Angola,,#DIV/0!,
1970,Angola,,#DIV/0!,
1971,Angola,,#DIV/0!,
1972,Angola,,#DIV/0!,
1973,Angola,,#DIV/0!,
1974,Angola,,#DIV/0!,
1975,Angola,,#DIV/0!,
1976,Angola,,#DIV/0!,
1977,Angola,,#DIV/0!,
1978,Angola,,#DIV/0!,
1979,Angola,,#DIV/0!,
1980,Angola,5930503401,#DIV/0!,710.9816481
1981,Angola,5550483036,-0.064078939,642.383858
1982,Angola,5550483036,0,619.9613575
1983,Angola,5784341596,0.04213301,623.4405848
1984,Angola,6131475065,0.060012616,637.7152307
1985,Angola,7553560459,0.231932019,758.2375762
1986,Angola,7072063345,-0.063744391,685.2700853
1987,Angola,8083872012,0.143071211,756.261853
1988,Angola,8769250550,0.084783447,792.3031202
1989,Angola,10201099040,0.1632806,890.5541365
1990,Angola,11228764963,0.100740706,947.7041821
1991,Angola,10603784541,-0.055658875,865.6927296
1992,Angola,8307810974,-0.216523974,656.361756
1993,Angola,5768720422,-0.305626905,441.2006733
1994,Angola,4438321017,-0.230622964,328.6732947
1995,Angola,5538749260,0.247937956,397.1794508
1996,Angola,7526446606,0.358871155,522.6438073
1997,Angola,7648377413,0.016200315,514.2952232
1998,Angola,6506229607,-0.149332041,423.5936602
1999,Angola,6152922943,-0.054302827,387.784316
2000,Angola,9129594819,0.483781758,556.8363181
2001,Angola,8936063723,-0.021198213,527.3335285
2002,Angola,15285594828,0.710551234,872.4944916
2003,Angola,17812705294,0.165326276,982.9608993
2004,Angola,23552052408,0.322205247,1255.564045
2005,Angola,36970918699,0.569753585,1902.422346
2006,Angola,52381006892,0.41681648,2599.566464
2007,Angola,65266452081,0.245994607,3121.995637
2008,Angola,88538611205,0.356571537,4080.94141
2009,Angola,70307163678,-0.205915219,3122.780766
2010,Angola,83799496611,0.191905522,3587.883798
